"item_name","ing_id","ing_name","ing_weight","ing_price","order_quantity","recipe_quantity","ordered_weight","unit_cost","ingredient_cost"
"Pizza Hawaiian Reg","ING002","Tomato sauce ",4500,"3.89","1",80,"80","0.00086444444444444444","0.06915555555555555520"
"Chocolate Brownie","ING029","Chocolate brownie",2500,"4.45","43",75,"3225","0.00178000000000000000","5.74050000000000000000"
"Pizza Hawaiian Reg","ING017","Ham",5000,"32.45","1",130,"130","0.00649000000000000000","0.84370000000000000000"
"Pizza Napolitana Large","ING012","Capers",1000,"4.16","9",7,"63","0.00416000000000000000","0.26208000000000000000"
"Fruit Salad","ING031","Fruit salad",5000,"7.12","19",150,"2850","0.00142400000000000000","4.05840000000000000000"
"Pizza Seafood Large","ING014","Shrimp",1000,"8.98","2",175,"350","0.00898000000000000000","3.14300000000000000000"
"Pizza Pepperoni Reg","ING013","Pepperoni",2500,"24.18","10",200,"2000","0.00967200000000000000","19.34400000000000000000"
"Pizza Pepperoni Reg","ING003","Mozzarella cheese",2500,"14.45","10",170,"1700","0.00578000000000000000","9.82600000000000000000"
"Pizza Diavola (hot) Reg","ING003","Mozzarella cheese",2500,"14.45","30",170,"5100","0.00578000000000000000","29.47800000000000000000"
"Pizza Diavola (hot) Large","ING005","Spicy salami",3500,"37.64","27",70,"1890","0.01075428571428571429","20.32560000000000000810"
"Pizza Seafood Large","ING016","Calamari",2500,"28.77","2",175,"350","0.01150800000000000000","4.02780000000000000000"
"Breadsticks","ING001","Pizza dough ball (8 pack)",2000,"4.22","46",250,"11500","0.00211000000000000000","24.26500000000000000000"
"Sprite Regular 33cl","ING036","Sprite Regular 33cl",1,"0.41","3",1,"3","0.41000000000000000000","1.23000000000000000000"
"Pizza Quattro Formaggi Reg","ING009","Gorgonzola cheese",3500,"27.64","22",150,"3300","0.00789714285714285714","26.06057142857142856200"
"Pizza Parmigiana Reg","ING001","Pizza dough ball (8 pack)",2000,"4.22","9",250,"2250","0.00211000000000000000","4.74750000000000000000"
"Pizza Margherita Large","ING004","Dried oregano",500,"5.99","7",8,"56","0.01198000000000000000","0.67088000000000000000"
"Pizza Pepperoni Large","ING013","Pepperoni",2500,"24.18","18",240,"4320","0.00967200000000000000","41.78304000000000000000"
"Strawberry Ice cream","ING027","Strawberry ice cream",4500,"15.45","9",100,"900","0.00343333333333333333","3.08999999999999999700"
"Fanta Regular 33cl","ING040","Fanta Regular 33cl",1,"0.41","29",1,"29","0.41000000000000000000","11.89000000000000000000"
"Pizza Hawaiian Large","ING017","Ham",5000,"32.45","6",150,"900","0.00649000000000000000","5.84100000000000000000"
"Pizza Quattro Formaggi Reg","ING002","Tomato sauce ",4500,"3.89","22",80,"1760","0.00086444444444444444","1.52142222222222221440"
"Garlic Bread","ING001","Pizza dough ball (8 pack)",2000,"4.22","17",250,"4250","0.00211000000000000000","8.96750000000000000000"
"Pizza Parmigiana Reg","ING003","Mozzarella cheese",2500,"14.45","9",170,"1530","0.00578000000000000000","8.84340000000000000000"
"Pizza Quattro Formaggi Reg","ING003","Mozzarella cheese",2500,"14.45","22",170,"3740","0.00578000000000000000","21.61720000000000000000"
"Pizza Parmigiana Large","ING001","Pizza dough ball (8 pack)",2000,"4.22","10",300,"3000","0.00211000000000000000","6.33000000000000000000"
"Pizza Napolitana Reg","ING012","Capers",1000,"4.16","14",5,"70","0.00416000000000000000","0.29120000000000000000"
"Pizza Margherita Large","ING002","Tomato sauce ",4500,"3.89","7",100,"700","0.00086444444444444444","0.60511111111111110800"
