Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,,Audience targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%,Lifetime Paid views to 95%,Lifetime Paid views to 95%,Lifetime Organic Video Views,Lifetime Organic Video Views,Lifetime Paid Video Views,Lifetime Paid Video Views,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Talking About This (Post) by action type - answer,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Stories by action type - answer,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - unlike_page_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - unlike_page_clicks,Posted_TH
,,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)",Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users),Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users),"Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)",Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count),Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count),"Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)",Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users),Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count),Lifetime: The number of people who have given negative feedback to your post. (Unique Users),Lifetime: The number of times people have given negative feedback to your post. (Total Count),Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users),Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count),Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users),Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users),Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users),Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count),Lifetime: Average time video viewed (Total Count),Lifetime: Length of a video post (Total Count),Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users),,,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",,,
352750091735719_1373834499627268,https://www.facebook.com/skooldio/posts/1373834499627268,"🔥🔥#เอาล่ะปีหน้าฉันจะ 😴 นอนเร็ว 📖 อ่านหนังสือ 🏋️‍♂️ ออกกำลัง &gt;&gt; 😭แต่สุดท้ายก็พังไม่เป็นท่า!

🎉🎄ถ้าคุณอยากทำ New Year’s Resolution ให้สำเร็จ ลองใช้เคล็ดลับด้านพฤติกรรมศาสตร์ง่ายๆ ซึ่งจะช่วยให้คุณทำตามเป้าหมายได้จริง จากคำแนะนำของคุณก๊อฟ-ภานุวัฒน์​ สัจจะวิริยะกุล, Behavioural Economist และผู้สอน Psychology and UX ของ Skooldio รวมถึงเป็นผู้ร่วมก่อตั้งเพจ Nudge Thailand ซึ่งไปร่วมพูดคุยใน Skooldio Live ตอน Behavioural Science in New Year’s Resolution
.
🙋🏻‍♂️ คุณก๊อฟได้แบ่งการตั้ง New Year’s Resolution ออกเป็น 2 แบบ นั่นคือเป้าหมายที่เราตั้งใจจะทำครั้งเดียว และเป้าหมายที่เราตั้งใจจะทำเป็นนิสัย นอกจากนี้ยังแยกเป็นหัวข้อเรื่องส่วนตัวและเรื่องงาน ซึ่งเราจะมาดูกันทีละหมวด ว่ามีอคติอะไรที่ขัดขวางจนเราทำเป้าหมายไม่สำเร็จ และจะแก้ไขได้ยังไง

================

😎เรื่องส่วนตัว 
.
🎯 เป้าหมายที่เราตั้งใจจะทำครั้งเดียว
.
อคติ : Hot-cold empathy gap การตัดสินใจตอนหัวร้อน-หัวเย็น 
จังหวะที่เราหัวร้อน เราจะคิดไม่ออกว่าตอนหัวเย็นเราคิดยังไง แล้วตอนจังหวะที่เราหัวเย็น ก็จะคิดไม่ออกว่าตอนหัวร้อนเราคิดยังไง 

เช่น เวลาหิวเราจะสั่งอาหารมากกว่าปกติ แต่พอสังมาแล้วเรากลับกินไม่หมด เพราะเราคิดไม่ออกว่าตอนที่เราอิ่มรู้สึกยังไง เหมือนกับตอนที่เราอยากตั้ง NY solution เราจะนึกไม่ออกเลยว่า ตอนที่เราอยู่ระหว่างปีเราจะยุ่งวุ่นวายขนาดไหน สุดท้ายเราก็ทำไม่ได้อย่างตั้งใจไว้
.
วิธีแก้ไข : Commitment ทำทันที
ทำทันที ตั้งแล้วให้ทำเลย สร้าง commitment บางอย่าง เพื่อสู้กับ Hot-cold empathy gap เพราะเราไม่มีทางรู้เลยว่าตอนที่เราง่วนๆ ยุ่งๆในอนาคตจะเป็นยังไง 

ถ้าเรามี commitment เลยก็ง่าย เช่น ถ้าอยากวิ่ง คุณลงงานวิ่งเลย ไปไม่ไปไม่เป็นไร คุณลงไว้ก่อน แล้วเดี๋ยวทุกอย่างจะบีบคุณให้ทำเอง วิธีนี้ช่วยได้เยอะมากๆ
.
.
🎯 เป้าหมายที่เราอยากทำเป็นนิสัย
.
อคติ : Present Bias ชอบความสุขปัจจุบันทันที
เรามักจะมีอคติว่าเราชอบสุขในปัจจุบันทันทีตอนนี้ และ delay ความสุขในอนาคตออกไป เช่น ถ้าถามว่าอาทิตย์หน้าอยากออกกำลังกาย หรือ อยากกินขนมหวานแสนอ้วน เราก็อยากออกกำลังกาย 

แต่พอถาม ณ ตอนนี้หลังเลิกงานดึก เราจะไปออกกำลังกายหรืออยากกินขนมหวาน คนส่วนใหญ่จะรู้สึกว่าเหนื่อยแล้วอะ อยากกินขนมหวานดีกว่า 
.
วิธีแก้ : Reward ให้รางวัลบ่อยๆ
การจะเปลี่ยนให้เป็นนิสัยได้ เราต้องหมั่นให้รางวัลตัวเอง เช่น คนลดน้ำหนักต้องมี cheat day จะช่วยทำให้ loop นิสัยดีขึ้น รวมถึงต้องตั้งเป้าหมายให้เริ่มต้นง่าย ไม่งั้นมันทำไม่ได้แล้วพอทำไม่ได้บ่อยๆ สมองเราจะไม่สู้เท่าไหร่ถ้ามันเป็นงานที่สำคัญแต่ไม่ด่วน เช่น สุขภาพ อ่านหนังสือ 

นอกจากนี้ควรตั้งเป้าให้ใกล้เห็นชัดๆ จับต้องได้ อย่าบอกว่าปีหน้าจะสุขภาพดีขึ้น มันจับไม่ได้ บอกไปเลยว่าปีหน้าจะกินคลีนวันพฤหัส

================

👨🏻‍💻เรื่องงาน
.
🎯 เป้าหมายที่เราตั้งใจจะทำครั้งเดียว
.
อคติ : Fear กลัวการเปลี่ยนแปลงสิ่งใหม่ๆ
หลายคนตั้งเป้าอยากเปลี่ยนสายงานหรือลาออกไปทำธุรกิจ แต่ก็ยังกลัวการเปลี่ยนแปลง เพราะมนุษย์เราไม่ชอบความไม่แน่นอน เราเลยคิดไปต่างๆ นานา 

ซึ่งสิ่งสำคัญกว่าการตั้งเป้าหมายคือต้องกล้า เอาชนะความกลัวให้ได้ เพราะถึงเราจะตั้งเป้า แต่ถ้าเรายังกลัวที่จะทำอยู่ มันจะไม่มีทางได้ทำแน่นอน
.
วิธีแก้ : ให้ลองผสมผสานระหว่างสิ่งใหม่กับสิ่งที่เคยทำอยู่ดูก่อน ค่อยๆ ลงมือทีละนิด อย่าเพิ่ง make decision หรือเสี่ยงทันที ค่อยๆ ทำให้ผลลัพธ์ชัดเจนขึ้น ตัวความกลัวเราจะลดลงไปเอง พอเราปรับ probability ในการสร้างผลลัพธ์ที่ดีให้เกิดขึ้น
.
.
🎯 เป้าหมายที่เราอยากทำเป็นนิสัย
.
อคติ : Time Confetti เศษเวลายิบย่อยที่ถูกรบกวน
เทคโนโลยีทุกวันนี้ทำให้ชีวิตคนเราถูก Distract มากขึ้น จนกระทบต่อการทำสิ่งต่างๆ ไม่สำเร็จตามเป้าหมาย เราจะเจอ Distraction ระหว่างทางเยอะมาก เรียกว่า Time Confetti 

หมายถึงเวลาของเราถูกขัดจังหวะจนกลายเป็นชิ้นเล็กๆ จนเราทำงานไม่เสร็จสักที แถมเมื่อโดนแทรกแล้วกลับมาทำงานเดิม ต้องใช้เวลาทำสมาธิเพื่อให้ต่อเนื่องอีก
.
วิธีแก้ : เราต้องเอาเศษเวลาเหล่านั้นมารวมติดกันให้เป็นช่วงเวลาที่ใหญ่ขึ้นและต่อเนื่อง หนึ่งในเทคนิคที่จะช่วยได้คือการใช้ Pomodoro Technique ซึ่งจะช่วยให้เราทำงานนั้นอย่างมีสมาธิ สมองไม่ล้า โฟกัสงานได้มากขึ้น 

โดยวิธีคือต้องทำงานไม่หยุดเลย 25 นาที และพัก 5 นาที นับเป็น 1 Pomodoro และเมื่อทำได้ 4 Pomodoro ก็พักสัก 15-20 นาที

================

❗️#ไม่จบแค่นี้ ใครอยากเรียนรู้แบบฟูลเวอร์ชัน กับเทคนิคจากหลักพฤติกรรมศาสตร์ที่จะช่วยให้คุณทำเป้าหมายได้สำเร็จ เข้าไปชมกันต่อที่ https://www.facebook.com/352750091735719/videos/409156690524699

😍 ขอให้คุณทำ New Year’s Resolution ได้สำเร็จนะครับ 🎄
🎉 Happy New Year ค้าบบ 
.
#Skooldio #skooldioLive #UpskillWithSkooldio",Photo,,,12/29/2020 5:27:00 PM,, ,8399,8399,0,8844,8844,0,279,130,161,0,0,5230,5188,0,0,185,0,0,0,0,0,0,0,0,0,0,78,125,,,79,130,,,68,62,,,97,64,,,,,,,,,2020-12-30 08:27:00 +07
352750091735719_1373796276297757,https://www.facebook.com/skooldio/posts/1373796276297757,"📊 CSS, HTML เป็นภาษาพื้นฐานที่สามารถทำให้คุณร่างเว็บขึ้นมาเองได้ง่ายๆ และถูกใช้กันอย่างกว้างขวาง
.
🧐 มาดูกันว่า ถ้าสามารถเขียน CSS ได้ จะสามารถทำอะไรได้บ้าง

=========

🚀 ถึงเวลาอัพสกิล CSS ทักษะที่สำคัญในปี 2021 กับคอร์สออนไลน์สุดเข้มข้น Essential CSS for Web Developers ปรับแต่งและเพิ่มลูกเล่นให้เว็บไซต์ด้วย CSS 
.
📊 คุณจะได้ Static webpage ของตัวเอง พร้อมเพิ่มลูกเล่นต่างๆ ให้เว็บไซต์ของคุณน่าใช้งานมากยิ่งขึ้น ตลอดจนช่วยให้คุณเข้าใจพื้นฐานและหลักการสร้างเว็บไซต์เบื้องต้นด้วย HTML/ CSS ไปจนถึงการทำเว็บให้มีความ Responsive เพื่อรองรับการใช้งานผ่าน Devices ต่างๆ 
.
👉 ดูรายละเอียดเพิ่มเติมที่ https://to.skooldio.com/css-5
.
#Skooldio #HTMLCSS",Photo,,,12/29/2020 3:11:00 AM,, ,4523,4523,0,4634,4634,0,175,109,142,0,0,3733,3589,0,0,153,0,0,0,0,0,0,0,0,0,0,29,53,,,29,54,,,25,81,18,,43,81,18,,,,,,,,2020-12-29 18:11:00 +07
352750091735719_1373309743013077,https://www.facebook.com/skooldio/posts/1373309743013077,"🎉 #ปีใหม่ 🚀 #คุณจะเป็นคนใหม่ที่เก่งกว่าเดิม เมื่อ Skooldio มอบของขวัญชิ้นใหญ่ให้คุณอัพสกิลยุคใหม่ครบทุกด้าน กับแพ็กสุดคุ้มเพิ่มทักษะ UX/UI | Developer | Data Science | Digital Business 🚨 สมัครได้ถึงวันที่ 8 มกราคมนี้เท่านั้น 🚨
.
👨🏻‍💻 แพ็กเปลี่ยน Graphic สู่ UI Designer 
จากปกติราคา 17,890 บาท ลดทันที 2,990 บาท เพียงกรอกโค้ด NY21_FIGMAUI 
สมัครเลย : https://to.skooldio.com/9osVookYscb
.
👨🏻‍💻 แพ็กออกแบบ UX พร้อมใช้ UI Tool 
จากปกติราคา 11,890 บาท ลดทันที 2,990 บาท เพียงกรอกโค้ด NY21_FIGMAUX 
สมัครเลย : https://to.skooldio.com/eLkB0nnYscb
.
👨🏻‍💻 แพ็ก UI Designer ค่าตัวแพง 
จากปกติราคา 7,970 บาท ลดทันที 25% เพียงกรอกโค้ด NY21_FIGHTML 
สมัครเลย : https://to.skooldio.com/VZhlrkqYscb
.
👨🏻‍💻 แพ็กก้าวแรกสู่ Front-end Developer 
จากปกติราคา 4,890 บาท ลดทันที 25% เพียงกรอกโค้ด NY21_HTMLCSS 
สมัครเลย : https://to.skooldio.com/L0XSmIBYscb
.
👨🏻‍💻 แพ็ก Dashboard Design with Power BI 
จากปกติราคา 3,480 บาท ลดทันที 25% เพียงกรอกโค้ด 
NY21_DDBI 
สมัครเลย : https://to.skooldio.com/vEhGirEYscb
.
#Skooldio #UpskillWithSkooldio",Photo,,,12/28/2020 5:27:00 PM,, ,6730,5884,1216,9486,6226,3260,470,406,624,0,0,7137,4785,2673,850,380,0,0,0,0,0,0,0,0,0,0,29,70,6,,33,77,6,,93,333,66,,170,376,76,,,,,,,,2020-12-29 08:27:00 +07
352750091735719_1373113439699374,https://www.facebook.com/skooldio/posts/1373113439699374,"🚨 #เปิดรับสมัครแล้ว! 🚨

Product Management Bootcamp - 12 สัปดาห์สู่การเป็น Product Manager
หลักสูตร 12 สัปดาห์ที่เข้มข้น อัดแน่นด้วยทุกเนื้อหาที่จำเป็นสำหรับการเป็น Product Manager
.
👨🏻‍💻 เรียนเต็มๆ 6 Unit หลัก

🔹 Unit 1: Introduction to Product Management
🔹 Unit 2: Business - Grab that opportunity!
🔹 Unit 3: Design - Build Products People Love
🔹 Unit 4: Tech - Develop Products Like a Boss
🔹 Unit 5: Product Launch
🔹 Unit 6: Way of Work - Move Fast, Manage Things
.
👨🏻‍💻 เมื่อเรียนจบแล้ว คุณจะสามารถ:

🔸 เข้าใจวิธีการทำงานและตำแหน่งงาน Product Manager
🔸 สร้าง Product Strategy และ Business Model ที่เหมาะสมกับ Digital Products
🔸 รู้วิธีการเข้าถึงใจลูกค้า เพื่อสร้าง Product ที่ตอบโจทย์ลูกค้าที่สุด
🔸 เข้าใจการทำงานของ Technology ต่างๆ ในการสร้าง Digital Product และสามารถนำ Requirements จากลูกค้ามาสื่อสารให้กับทีมได้อย่างดี
🔸 เรียนรู้วิธีการใช้ Data ในการพัฒนา Product ให้ดียิ่งขึ้น
🔸 สื่อสารกับทีมอื่นๆ และบริหารจัดการงานต่างๆด้วย Tools และวิธีการที่มีประสิทธิภาพ
.
🚀 เริ่มเรียน 23 มกราคม 2564 ทุกวันเสาร์ เวลา 13:00 - 17:00 น. 

👉 ราคา Early Bird - 65,000 บาท (VAT excluded) เมื่อสมัคร และชำระเงินภายในวันนี้ - 10 ม.ค. 64 เท่านั้น

👉 ราคา Regular - 75,000 บาท (VAT excluded) เมื่อสมัคร และชำระเงินภายในวันที่ 11 - 17 ม.ค. 64
.
#พิเศษ❗️ สำหรับองค์กรที่ต้องการสมัคร 3 ท่านขึ้นไป เหลือเพียง 60,000 บาท (VAT Excluded) ต่อท่านเท่านั้น
.
🔥🔥 ดูรายละเอียดเพิ่มเติมได้ที่นี่ https://to.skooldio.com/pm-bootcamp

🔥🔥 หรือลงทะเบียนได้แล้วที่นี่ https://to.skooldio.com/pm-bootcamp-registration
.
*เนื่องจากเราต้องการให้ Bootcamp นี้ เป็น Bootcamp ที่เข้มข้น ผู้เรียนทุกคนได้ลงมือทำจริง และได้รับประสบการณ์การ PM Shadowing อย่างครบถ้วนที่สุด เราจึงจำเป็นต้องคัดเลือกผู้สมัครและจำกัดจำนวนผู้เข้าร่วมไม่เกิน 40 ท่านในรุ่นนี้ 
.
โดยเกณฑ์การคัดเลือก จะขึ้นอยู่กับเป้าหมายในการเข้าร่วมของผู้สมัคร ที่ตรงกับเป้าหมายของ Bootcamp นี้ที่สุด และความหลากหลายในประสบการณ์ของผู้สมัคร เพื่อสร้าง Class Dynamics ที่ดีที่สุด
.
*เนื่องจากสถานการณ์ COVID-19 ในช่วงแรกของ Bootcamp อาจปรับเป็น Virtual Workshop ซึ่งจะเป็นการเรียนแบบ Live ผ่าน Zoom โดย Skooldio ได้ออกแบบประสบการณ์การเรียนให้ใกล้เคียงกับการเรียนในห้องเรียนปกติที่สุด และเฝ้าติดตามสถานการณ์อย่างใกล้ชิด
.
ติดต่อสอบถามเพิ่มเติม 
โทร 086-424-9235 (คุณภาชรี)
081-882-0369 (คุณวรพล)
หรือ hello@skooldio.com
.
#Skooldio #PMB #ProductManager",Photo,,,12/28/2020 3:11:00 AM,, ,10713,10733,0,11411,11411,0,436,350,571,0,0,5544,5168,0,0,263,0,0,0,0,0,0,0,0,0,0,28,107,15,,28,141,35,,310,21,41,,503,23,45,,,,,,,,2020-12-28 18:11:00 +07
352750091735719_1372658349744883,https://www.facebook.com/skooldio/posts/1372658349744883,"🤖 — #อัพสกิลฟรี Make AI products for people. ♥️👦🏻
.
🔥 ห้ามพลาดเมื่อ Google เผยแพร่เนื้อหา People + AI Guidebook ที่รวบรวมเอา best practices ในการออกแบบผลิตภัณฑ์ AI โดยยึดผู้ใช้งานเป็นศูนย์กลาง (Human-centered AI products)
.
ตามไปอ่านกันได้ที่: http://design.google/ai-guidebook 📖🚀

=============

👨🏻‍💻 หนึ่งในสกิลสำคัญนอกจากเรื่อง AI ที่จะทำให้ธุรกิจยุคใหม่รู้ใจลูกค้ามากที่สุด นั่นคือการเรียนรู้เรื่อง Data ซึ่งเรามีคอร์สออนไลน์ที่จะช่วยคุณพัฒนาทักษะด้าน Data ได้รอบด้าน สอนโดยดร.ต้า-วิโรจน์ จิรพัฒนกุล อดีต Data Scientist จาก Facebook Headquarter ได้แก่
.
.
📊Intro to Data Science สร้างมูลค่าทางธุรกิจด้วยข้อมูล : คอร์สนี้ผู้สอนจะพูดถึงการนําข้อมูลมาใช้สร้างประโยชน์ทางธุรกิจ ตั้งแต่การนําข้อมูลมาใช้ประกอบการตัดสินใจ การทําความเข้าใจผู้ใช้งาน ไปจนถึงการสร้างผลิตภัณฑ์จากข้อมูล ผ่านตัวอย่างจากบริษัทชั้นนำของโลก ไม่ว่าจะเป็น Facebook, Netflix หรือ Uber 

👉ดูรายละเอียดเพิ่มเติมที่ https://to.skooldio.com/intro-data-gg
.
.
📊SQL for Data Analytics เขียน SQL เพื่อวิเคราะห์ข้อมูลทางธุรกิจ : อัพสกิลผ่านเนื้อหาสุดเข้มข้นในรูปแบบวิดีโอกว่า 3 ชั่วโมงแล้ว พร้อมเรียน SQL ผ่านการลงมือทำแบบฝึกหัดจริงกว่า 70 แบบฝึกหัด ด้วยชุดข้อมูลจริง ในรูปแบบ live coding คือเรียนแล้วพิมพ์ชุดคำสั่งตามและมีระบบตรวจให้อัตโนมัติทันที โดยผู้เรียนไม่จำเป็นต้องติดตั้งโปรแกรมใดเพิ่มเติม

👉ดูรายละเอียดเพิ่มเติมที่ https://to.skooldio.com/sql-gg
.
.
📊 Web Scraping Fundamentals with Python เข้าถึงข้อมูลเว็บไซต์ง่ายๆ ด้วยมือคุณ : หลักสูตรออนไลน์ที่เนื้อหาครบทุกเรื่องที่จำเป็นสำหรับการดึงข้อมูลจากเว็บไซต์ (Web Scraping) หลักสูตรที่ผ่านการออกแบบมาอย่างเข้มข้น และเป็นที่ยอมรับของตัวจริงในวงการ

👉ดูรายละเอียดเพิ่มเติมที่ https://to.skooldio.com/web-scraping-gg
.
.
#Skooldio #IntroDataScience #SQL #WebScraping",Photo,,,12/27/2020 5:27:00 PM,, ,24024,24024,0,25166,25166,0,972,639,789,0,0,8274,7762,0,0,494,0,0,0,0,0,0,0,0,0,0,252,263,,,350,273,,,391,41,236,,466,44,279,,,,,,,,2020-12-28 08:27:00 +07
352750091735719_1372021813141870,https://www.facebook.com/skooldio/posts/1372021813141870,"💻 เราอาจจะเคยได้ยินแต่ว่า Vue.js นั้นเป็นที่นิยมในหมู่สตาร์ทอัปเกิดใหม่หรือใช้กับโปรเจคเล็ก แต่จริงๆ ตอนนี้แอบเป็นที่นิยมในหมู่บริษัทใหญ่แล้ว
.
🏢 มาดูกันว่าบริษัทใหญ่ไหนบ้าง ที่ใช้ Vue.js กันแล้ว

===============

🔥🔥 ถ้าใครอยากเรียนรู้ Vue.js และนำมาใช้เหมือนบริษัทยักษ์ใหญ่หลาย ๆ ที่ แต่ไม่อยากเสียเวลานาน เราแนะนำคอร์สออนไลน์สุดเข้มข้น Getting Started with Vue.js สอนโดย Google Developers Expert ด้าน Web Technologies คุณวรัทธน์ วงศ์มณีกิจ 
.
👉ดูรายละเอียดเพิ่มเติมที่ https://to.skooldio.com/vue-js-bs  
.
#Skooldio #VueJS",Photo,,,12/27/2020 4:19:00 AM,, ,3815,3815,0,3828,3828,0,206,166,203,0,0,3336,3329,0,0,188,0,0,0,0,0,0,0,0,0,0,19,30,,,20,31,,,22,133,25,,43,134,26,,,,,,,,2020-12-27 19:19:00 +07
352750091735719_1371799036497481,https://www.facebook.com/skooldio/posts/1371799036497481,"🏁 จบไปแล้วกับเวิร์กชอปสุดท้ายของปีนี้ 🏁
🎉 Ionic React Fundamentals รุ่นที่ 2  🎉
.
เวิร์กชอปจบ แต่อัปสกิลไม่มีวันจบ… ❌
🤫 เรามีกลุ่มลับเฉพาะสำหรับถาม-ตอบข้อสงสัยสาย web dev ที่สนใจทำ mobile app ด้วยนะ 🤩
.
ถ้าอยากพัฒนา app ครั้งเดียว ใช้ได้ทุกแพลตฟอร์มแบบพวกเราแล้วล่ะก็…
เจอกันรอบหน้าเล้ย~!! 🔥🔥
.
#พิเศษ สมัครวันนี้ รับทุนสนับสนุนจาก depa ไปเลย 60% เพียงแค่สมัครเท่านั้น !!
#และ ทำโจทย์ในเวิร์กชอปครบปุ๊บ ได้ใบเซอร์จาก CU inn ปั๊บ
แถมมีโปรเจกต์เป็นของตัวเองไปต่อยอดได้อีกด้วย
.
👉 สมัครเลย !! &gt;&gt; https://to.skooldio.com/5QpTPnRPwcb
.
📱Ionic React Fundamentals รุ่นที่ 3 💻
📆 อา. 31 ม.ค. 64
⏰ 09:30 - 17:00 น.
.
#Skooldio #CUInnovationHub #depa #Ionic #React #CrossPlatformApplication #HybridApplication",Photo,,,12/26/2020 6:27:29 PM,, ,2984,2984,0,3192,3192,0,59,51,61,0,0,2739,2612,0,0,48,0,0,0,0,0,0,0,0,0,0,1,10,,,1,11,,,11,38,5,,17,39,5,,,,,,,,2020-12-27 09:27:29 +07
352750091735719_1371413429869375,https://www.facebook.com/skooldio/posts/1371413429869375,"มาออกแบบ UI ให้เจ๋งกว่าเดิมด้วย 𝗙𝗶𝗴𝗺𝗮 เครื่องมือมาแรงที่สุดแห่งปี❗ แถมยังใช้ฟรี❗ และมีสารพัดฟังก์ชันที่ช่วยทำงานได้มากมาย ตั้งแต่เริ่มดีไซน์จนถึงทำ Prototype
.
🔥🔥 ถ้าอยากเรียนรู้วิธีใช้ Figma แบบเข้าใจง่าย และใช้ประโยชน์ของเครื่องมือนี้ได้เต็มที่ มาเจอกันได้ในคอร์ส UI Design with Figma
.
👉 ดูรายละเอียดเพิ่มเติมได้ที่ https://to.skooldio.com/figma-vdo
.
#skooldio #Figma #UI #UX #Design",Video,,,12/26/2020 4:17:00 AM,, ,3654,3654,0,3913,3913,0,173,139,196,0,0,3133,3006,0,0,156,36,36,0,0,1036,1059,0,0,6662,108902,20,24,3,,20,25,3,,95,,36,33,127,,36,33,,,,,,,2020-12-26 19:17:00 +07
352750091735719_1370932786584106,https://www.facebook.com/skooldio/posts/1370932786584106,"😘#Cute 😎#Cool 🎨#Craft กับชุดของขวัญสุดพิเศษ Skooldio x ถุง SOS ปีใหม่ (Source of Skills) ที่รวมทักษะยังชีพแห่งปี 2021 น่ารักๆ ไว้มากมาย ซึ่งเราทุ่มเทและตั้งใจออกแบบอย่างพิถีพิถัน 🙏🏻 เพื่อขอบคุณลูกค้าระดับองค์กรผู้น่ารักทุกท่าน ที่มาร่วมอัพสกิลกับเราตลอดปีที่ผ่านมา 
.
🎁ในชุดประกอบด้วย Survival Guide, แฟ้มรวมทักษะ 4 ด้าน, บะหมี่กึ่งสำเร็จรูปทานพร้อมดู Tutorials, หน้ากากผ้าสุขภาพ, ปลั๊กไฟ USB, การ์ด/สติกเกอร์ Survival Kit รวมของวิเศษช่วยพ้นวิกฤติ
.
🎄🎅🏻Merry Christmas ค้าบบ
.
#Skooldio #UpskillWithSkooldio",Photo,,,12/24/2020 9:04:00 PM,, ,8602,8602,0,10011,10011,0,470,355,591,1,1,7376,6118,0,0,398,0,0,0,0,0,0,0,0,0,0,13,172,14,,13,194,20,,168,222,,,360,231,,,1,,,1,,,2020-12-25 12:04:00 +07
